x : [    2.4546    4.4260
   -0.8278    3.1405
    0.6649    0.2701
    0.7377    2.4532
    5.9631    5.6636
    1.1676    6.0148
    1.6939    1.9166
    1.6123    1.7289
    1.6207    3.9707
    3.1176    3.8748
    1.0678    0.4026
    2.5324    4.1566
    2.0062    3.3688
    1.5752    1.5986
    0.9002    0.9585
    1.3149    0.4826
   -0.4736    0.9291
   -1.2251    3.9028
    0.9477    1.0013
    1.5145   -0.2641
    0.7770    1.6806
    1.4756    2.4139
    0.1201    1.9602
    1.1490    2.8304
    2.6479    3.4674
    0.1750    2.1023
   -0.7709    0.5270
    1.7595    4.0275
    0.4160    2.4913
    1.3331    3.4781
   -0.0728    2.0431
    2.1028    3.4560
    2.5872    2.1137
   -0.8627    1.0180
    1.1136    5.1094
    0.7584    2.9896
    1.2519    3.1755
   -0.4660    0.1450
   -0.1783    2.6458
    0.7246    1.7406
    2.5651    2.3857
    1.9917    4.1003
    0.5438    2.9215
    1.7132    1.6776
    0.6327    0.4577
   -0.0955    2.1387
    3.0150    5.4203
    0.4268    2.2478
   -0.0490   -0.5571
   -0.3363   -0.3741
    2.3964   -1.1748
    1.8278   -0.7203
    2.0034   -0.7942
    2.8596    0.9781
    3.6148   -0.2568
   -0.5581   -1.1107
    2.8185   -1.4183
    3.0230    0.1641
    2.4562   -2.5940
    1.1984   -1.5978
    5.3206    1.0917
    2.8499   -1.3998
    1.3951   -0.3604
    2.9595   -0.3676
    1.6756   -2.7143
    1.2344   -1.0895
    0.6769    0.6720
    2.2987    0.0443
    1.2301    1.4915
    2.2006   -0.3956
    1.8919   -0.3466
    0.1070   -0.3779
    0.6790   -1.2954
    0.5768   -0.7058
    0.4795    1.2756
    2.5100   -0.0265
    1.5661   -1.0559
    2.9521   -0.1762
    1.9612    1.7877
    1.4807   -0.7792
    1.2823   -1.1217
    2.1429    3.3416
    3.8093    0.4068
    0.3101   -1.1449
    2.2192    1.0469
   -0.4969   -3.0821
    0.7177    0.4412
    2.6172    0.5975
    1.9616    0.2430
    1.9549    1.1403
    0.8658    0.6019
    0.9838   -0.4430
    3.0723    1.3746
    1.5127    1.6677
    2.6262   -0.0898
    1.6960   -0.2879
    1.7084    0.0305
    2.4643    1.0928
    3.7604    0.6177
    2.1029    0.8270
]

y : [     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     0
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
     1
]
